"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene Type","Input ID"
"Tb927.7.4530","Tb927.7.4530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,205,019..1,207,750(-)","hypothetical protein, conserved","protein coding","Tb927.7.4530"
"Tb927.7.4540","Tb927.7.4540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,207,968..1,209,170(-)","hypothetical protein, conserved","protein coding","Tb927.7.4540"
"Tb927.7.4550","Tb927.7.4550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,209,561..1,210,202(-)","Mitochondrial ribosomal protein L7/L12","protein coding","Tb927.7.4550"
"Tb927.7.4560","Tb927.7.4560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,210,312..1,212,232(-)","Histone acetyltransferase 1","protein coding","Tb927.7.4560"
"Tb927.7.4570","Tb927.7.4570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,214,568..1,215,758(-)","inosine-guanine nucleoside hydrolase","protein coding","Tb927.7.4570"
"Tb927.7.4580","Tb927.7.4580:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,215,905..1,218,960(-)","Cornifin (SPRR) family, putative","protein coding","Tb927.7.4580"
"Tb927.7.4590","Tb927.7.4590:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,219,176..1,220,970(-)","chaperone protein DnaJ, putative","protein coding","Tb927.7.4590"
"Tb927.7.460","Tb927.7.460:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:82,554..84,389(-)","protein farnesyltransferase beta subunit","protein coding","Tb927.7.460"
"Tb927.7.4600","Tb927.7.4600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,221,082..1,223,960(-)","Calponin homology (CH) domain containing protein, putative","protein coding","Tb927.7.4600"
"Tb927.7.4610","Tb927.7.4610:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,224,067..1,225,613(-)","hypothetical protein, conserved","protein coding","Tb927.7.4610"
"Tb927.7.4620","Tb927.7.4620:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,225,743..1,226,873(-)","hypothetical protein, conserved","protein coding","Tb927.7.4620"
"Tb927.7.4630","Tb927.7.4630:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,227,274..1,227,884(-)","Miro-like protein, putative","protein coding","Tb927.7.4630"
"Tb927.7.4640","Tb927.7.4640:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,228,025..1,230,427(-)","hypothetical protein, conserved","protein coding","Tb927.7.4640"
"Tb927.7.4645","Tb927.7.4645:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,230,655..1,230,882(-)","hypothetical protein","protein coding","NCDS.Tb927.7.4641"
"Tb927.7.4650","Tb927.7.4650:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,231,036..1,235,151(-)","J Biosynthesis Protein 2","protein coding","Tb927.7.4650"
"Tb927.7.4660","Tb927.7.4660:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,236,305..1,237,294(-)","hypothetical protein, conserved","protein coding","Tb927.7.4660"
"Tb927.7.4670","Tb927.7.4670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,237,468..1,238,375(-)","ribosomal RNA processing protein 4","protein coding","Tb927.7.4670"
"Tb927.7.4680","Tb927.7.4680:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,243,968..1,245,508(+)","hypothetical protein, conserved","protein coding","Tb927.7.4680"
"Tb927.7.4690","Tb927.7.4690:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,245,513..1,248,241(-)","hypothetical protein","protein coding","Tb927.7.4690"
"Tb927.7.470","Tb927.7.470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:85,224..86,318(-)","Enriched in surface-labeled proteome protein 14","protein coding","Tb927.7.470"
"Tb927.7.4700","Tb927.7.4700:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,248,734..1,252,281(-)","WD domain, G-beta repeat, putative","protein coding","Tb927.7.4700"
"Tb927.7.4710","Tb927.7.4710:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,252,382..1,253,642(-)","Mitochondrial ribosomal protein L46","protein coding","Tb927.7.4710"
"Tb927.7.4720","Tb927.7.4720:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,253,850..1,254,643(-)","hypothetical protein","protein coding","Tb927.7.4720"
"Tb927.7.4730","Tb927.7.4730:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,256,613..1,258,529(-)","pumilio/PUF RNA binding protein 5","protein coding","Tb927.7.4730"
"Tb927.7.4740","Tb927.7.4740:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,259,243..1,260,425(-)","hypothetical protein, conserved","protein coding","Tb927.7.4740"
"Tb927.7.4750","Tb927.7.4750:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,260,770..1,262,282(-)","hypothetical protein, conserved","protein coding","Tb927.7.4750"
"Tb927.7.4760","Tb927.7.4760:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,262,599..1,264,272(-)","hypothetical protein, conserved","protein coding","Tb927.7.4760"
"Tb927.7.4770","Tb927.7.4770:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,264,536..1,265,185(-)","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative","protein coding","Tb927.7.4770"
"Tb927.7.4780","Tb927.7.4780:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,265,666..1,266,315(-)","conserved hypothetical protein, putative","protein coding","Tb927.7.4780"
"Tb927.7.4790","Tb927.7.4790:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,266,855..1,267,685(-)","proteasome beta 6 subunit","protein coding","Tb927.7.4790"
"Tb927.7.480","Tb927.7.480:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:86,240..90,275(-)","hypothetical protein, conserved","protein coding","Tb927.7.480"
"Tb927.7.4800","Tb927.7.4800:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,267,786..1,268,357(-)","hypothetical protein, conserved","protein coding","Tb927.7.4800"
"Tb927.7.4810","Tb927.7.4810:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,268,461..1,270,060(-)","HD domain containing protein, putative","protein coding","Tb927.7.4810"
"Tb927.7.4820","Tb927.7.4820:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,270,545..1,270,989(-)","Trm112p-like protein, putative","protein coding","Tb927.7.4820"
"Tb927.7.4830","Tb927.7.4830:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,271,199..1,272,857(-)","kinesin, putative","protein coding","Tb927.7.4830"
"Tb927.7.4840","Tb927.7.4840:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,273,051..1,275,042(-)","hypothetical protein, conserved","protein coding","Tb927.7.4840"
"Tb927.7.4850","Tb927.7.4850:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,275,140..1,276,163(-)","kinetoplastid kinetochore protein 5","protein coding","Tb927.7.4850"
"Tb927.7.4860","Tb927.7.4860:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,276,364..1,278,719(-)","kinetoplastid kinetochore protein 13","protein coding","Tb927.7.4860"
"Tb927.7.4870","Tb927.7.4870:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,278,863..1,280,358(-)","hypothetical protein, conserved","protein coding","Tb927.7.4870"
"Tb927.7.4880","Tb927.7.4880:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,280,546..1,281,593(-)","hypothetical protein, conserved","protein coding","Tb927.7.4880"
"Tb927.7.4890","Tb927.7.4890:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,282,113..1,285,418(-)","Present in the outer mitochondrial membrane proteome 34","protein coding","Tb927.7.4890"
"Tb927.7.490","Tb927.7.490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:90,431..92,340(-)","hypothetical protein, conserved","protein coding","Tb927.7.490"
"Tb927.7.4900","Tb927.7.4900:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,286,344..1,294,529(-)","5'-3' exoribonuclease A","protein coding","Tb927.7.4900"
"Tb927.7.4910","Tb927.7.4910:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,294,604..1,296,083(-)","hypothetical protein, conserved","protein coding","Tb927.7.4910"
"Tb927.7.4920","Tb927.7.4920:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,296,682..1,299,344(-)","hypothetical protein, conserved","protein coding","Tb927.7.4920"
"Tb927.7.4925","Tb927.7.4925:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,299,518..1,300,124(-)","hypothetical protein","protein coding","NTCDS.Tb7.NT.55"
"Tb927.7.4930","Tb927.7.4930:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,300,340..1,301,294(-)","ribonuclease H1","protein coding","Tb927.7.4930"
"Tb927.7.4940","Tb927.7.4940:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,301,709..1,304,694(-)","serine peptidase, clan SC, family S9A-like protein","protein coding","Tb927.7.4940"
"Tb927.7.4950","Tb927.7.4950:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,305,128..1,306,480(-)","NAD(P)-dependent steroid dehydrogenase protein, putative","protein coding","Tb927.7.4950"
"Tb927.7.4960","Tb927.7.4960:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,306,614..1,308,074(-)","hypothetical protein, conserved","protein coding","Tb927.7.4960"
"Tb927.7.4970","Tb927.7.4970:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,318,071..1,319,598(+)","glutamine synthetase, putative","protein coding","Tb927.7.4970"
"Tb927.7.4980","Tb927.7.4980:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,319,783..1,321,056(+)","Present in the outer mitochondrial membrane proteome 35","protein coding","Tb927.7.4980"
"Tb927.7.4990","Tb927.7.4990:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,321,171..1,323,534(+)","hypothetical protein, conserved","protein coding","Tb927.7.4990"
"Tb927.7.500","Tb927.7.500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:92,714..98,511(-)","hypothetical protein, conserved","protein coding","Tb927.7.500"
"Tb927.7.5000","Tb927.7.5000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,323,893..1,324,748(+)","60S ribosomal protein L19, putative","protein coding","Tb927.7.5000"
"Tb927.7.5010","Tb927.7.5010:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,324,854..1,325,248(+)","hypothetical protein, conserved","protein coding","Tb927.7.5010"
"Tb927.7.5020","Tb927.7.5020:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,325,562..1,326,397(+)","60S ribosomal protein L19, putative","protein coding","Tb927.7.5020"
"Tb927.7.5030","Tb927.7.5030:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,326,516..1,327,744(+)","hypothetical protein, conserved","protein coding","Tb927.7.5030"
"Tb927.7.5040","Tb927.7.5040:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,328,119..1,330,718(+)","kinesin, putative","protein coding","Tb927.7.5040"
"Tb927.7.5050","Tb927.7.5050:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,330,859..1,334,092(+)","hypothetical protein, conserved","protein coding","Tb927.7.5050"
"Tb927.7.5060","Tb927.7.5060:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,334,571..1,336,813(+)","CLN3 protein, putative","protein coding","Tb927.7.5060"
"Tb927.7.5070","Tb927.7.5070:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,337,832..1,340,022(+)","hypothetical protein","protein coding","Tb927.7.5070"
"Tb927.7.5080","Tb927.7.5080:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,340,189..1,343,480(+)","ATP-NAD kinase-like protein","protein coding","Tb927.7.5080"
"Tb927.7.5090","Tb927.7.5090:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,343,591..1,346,672(+)","condensin complex subunit 2, putative","protein coding","Tb927.7.5090"
"Tb927.7.510","Tb927.7.510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:98,617..100,153(-)","hypothetical protein, conserved","protein coding","Tb927.7.510"
"Tb927.7.5100","Tb927.7.5100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,347,323..1,348,634(+)","hypothetical protein, conserved","protein coding","Tb927.7.5100"
"Tb927.7.5110","Tb927.7.5110:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,348,693..1,350,485(+)","hypothetical protein, conserved","protein coding","Tb927.7.5110"
"Tb927.7.5120","Tb927.7.5120.1:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,350,934..1,352,115(+)","SpoU rRNA Methylase family, putative","protein coding","Tb927.7.5120"
"Tb927.7.5120","Tb927.7.5120.2:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,350,934..1,352,115(+)","SpoU rRNA Methylase family, putative","protein coding","Tb927.7.5120"
"Tb927.7.5130","Tb927.7.5130:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,352,636..1,353,748(+)","hypothetical protein, conserved","protein coding","Tb927.7.5130"
"Tb927.7.5140","Tb927.7.5140:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,354,026..1,355,832(+)","hypothetical protein, conserved","protein coding","Tb927.7.5140"
"Tb927.7.5150","Tb927.7.5150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,355,965..1,360,544(+)","hypothetical protein, conserved","protein coding","Tb927.7.5150"
"Tb927.7.5160","Tb927.7.5160:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,361,303..1,362,286(+)","deoxyuridine triphosphatase","protein coding","Tb927.7.5160"
"Tb927.7.5170","Tb927.7.5170:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,362,854..1,363,838(+)","60S ribosomal protein L25","protein coding","Tb927.7.5170"
"Tb927.7.5180","Tb927.7.5180:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,364,043..1,364,745(+)","60S ribosomal protein L23a, putative","protein coding","Tb927.7.5180"
"Tb927.7.5190","Tb927.7.5190:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,364,953..1,369,420(+)","hypothetical protein, conserved","protein coding","Tb927.7.5190"
"Tb927.7.520","Tb927.7.520:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:101,393..102,824(-)","cytochrome b5-like Heme/Steroid binding domain containing protein, putative","protein coding","Tb927.7.520"
"Tb927.7.5200","Tb927.7.5200:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,369,630..1,371,855(+)","hypothetical protein, conserved","protein coding","Tb927.7.5200"
"Tb927.7.5210","Tb927.7.5210:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,372,143..1,375,994(+)","Putative Phosphatase/Protein of unknown function DUF89, putative","protein coding","Tb927.7.5210"
"Tb927.7.5220","Tb927.7.5220:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,376,156..1,381,777(+)","Forkhead Kinase, putative","protein coding","Tb927.7.5220"
"Tb927.7.5230","Tb927.7.5230:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,382,084..1,385,617(+)","lanosterol synthase","protein coding","Tb927.7.5230"
"Tb927.7.5240","Tb927.7.5240:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,385,878..1,389,329(+)","Flagellum attachment zone protein 21","protein coding","Tb927.7.5240"
"Tb927.7.5250","Tb927.7.5250:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,389,465..1,392,401(+)","hypothetical protein, conserved","protein coding","Tb927.7.5250"
"Tb927.7.5260","Tb927.7.5260:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,392,631..1,393,515(+)","Cytochrome c oxidase biogenesis protein Cmc1 like, putative","protein coding","Tb927.7.5260"
"Tb927.7.5270","Tb927.7.5270:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,393,693..1,395,000(+)","hypothetical protein, conserved","protein coding","Tb927.7.5270"
"Tb927.7.5280","Tb927.7.5280:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,395,105..1,402,379(+)","kinetoplast ribosomal PPR-repeat containing protein 19","protein coding","Tb927.7.5280"
"Tb927.7.5290","Tb927.7.5290:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,402,511..1,405,030(+)","hypothetical protein, conserved","protein coding","Tb927.7.5290"
"Tb927.7.530","Tb927.7.530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:103,113..108,043(-)","FYVE zinc finger, putative","protein coding","Tb927.7.530"
"Tb927.7.5300","Tb927.7.5300:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,406,536..1,409,443(+)","C2 domain/Ankyrin repeats (3 copies), putative","protein coding","Tb927.7.5300"
"Tb927.7.5310","Tb927.7.5310:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,409,622..1,411,798(+)","YEATS family, putative","protein coding","Tb927.7.5310"
"Tb927.7.5320","Tb927.7.5320:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,412,504..1,415,724(+)","hypothetical protein, conserved","protein coding","Tb927.7.5320"
"Tb927.7.5330","Tb927.7.5330:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,415,891..1,418,747(+)","hypothetical protein, conserved","protein coding","Tb927.7.5330"
"Tb927.7.5340","Tb927.7.5340:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,418,660..1,422,209(+)","cAMP response protein 3","protein coding","Tb927.7.5340"
"Tb927.7.5350","Tb927.7.5350:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,427,074..1,429,836(+)","hypothetical protein, conserved","protein coding","Tb927.7.5350"
"Tb927.7.5360","Tb927.7.5360:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,430,205..1,431,717(+)","Haemolysin-III related, putative","protein coding","Tb927.7.5360"
"Tb927.7.5370","Tb927.7.5370:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,431,937..1,436,493(+)","hypothetical protein, conserved","protein coding","Tb927.7.5370"
"Tb927.7.5380","Tb927.7.5380:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,436,813..1,443,652(+)","Double RNA binding domain protein 12","protein coding","Tb927.7.5380"
"Tb927.7.5390","Tb927.7.5390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,445,724..1,450,155(+)","hypothetical protein, conserved","protein coding","Tb927.7.5390"
"Tb927.7.540","Tb927.7.540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:108,893..110,341(-)","chaperone protein DnaJ, putative","protein coding","Tb927.7.540"
"Tb927.7.5400","Tb927.7.5400:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,450,488..1,452,736(+)","hypothetical protein, conserved","protein coding","Tb927.7.5400"
"Tb927.7.5410","Tb927.7.5410:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,453,218..1,456,300(+)","hypothetical protein, conserved","protein coding","Tb927.7.5410"
"Tb927.7.5420","Tb927.7.5420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,457,067..1,458,735(+)","hypothetical protein, conserved","protein coding","Tb927.7.5420"
"Tb927.7.5430","Tb927.7.5430:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,459,754..1,462,622(+)","hypothetical protein, conserved","protein coding","Tb927.7.5430"
"Tb927.7.5440","Tb927.7.5440:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,462,957..1,469,006(+)","hypothetical protein, conserved","protein coding","Tb927.7.5440"
"Tb927.7.5450","Tb927.7.5450:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,469,735..1,474,285(+)","lipin","protein coding","Tb927.7.5450"
"Tb927.7.5460","Tb927.7.5460:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,474,444..1,475,778(+)","exosome-associated protein 3","protein coding","Tb927.7.5460"
"Tb927.7.5470","Tb927.7.5470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,475,950..1,478,015(+)","Present in the outer mitochondrial membrane proteome 36","protein coding","Tb927.7.5470"
"Tb927.7.5480","Tb927.7.5480:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,478,517..1,481,246(+)","dihydrofolate reductase-thymidylate synthase","protein coding","Tb927.7.5480"
"Tb927.7.5490","Tb927.7.5490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,481,366..1,483,365(+)","protein arginine n-methyltransferase 7","protein coding","Tb927.7.5490"
"Tb927.7.550","Tb927.7.550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:111,019..113,813(-)","WD domain, G-beta repeat, putative","protein coding","Tb927.7.550"
"Tb927.7.5500","Tb927.7.5500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,483,503..1,487,058(+)","hypothetical protein, conserved","protein coding","Tb927.7.5500"
"Tb927.7.5510","Tb927.7.5510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,487,711..1,489,218(+)","hypothetical protein, conserved","protein coding","Tb927.7.5510"
"Tb927.7.5520","Tb927.7.5520:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,489,376..1,490,689(+)","peptidyl-tRNA hydrolase, putative","protein coding","Tb927.7.5520"
"Tb927.7.5530","Tb927.7.5530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,490,808..1,492,370(+)","hypothetical protein, conserved","protein coding","Tb927.7.5530"
"Tb927.7.5540","Tb927.7.5540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,492,521..1,494,822(+)","2,4-dienoyl-coa reductase-like protein","protein coding","Tb927.7.5540"
"Tb927.7.5550","Tb927.7.5550.1:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,495,014..1,496,528(+)","TLD, putative","protein coding","Tb927.7.5550"
"Tb927.7.5550","Tb927.7.5550.2:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,495,014..1,496,528(+)","TLD, putative","protein coding","Tb927.7.5550"
"Tb927.7.5560","Tb927.7.5560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,496,839..1,500,931(+)","glucosamine-fructose-6-phosphate aminotransferase, putative","protein coding","Tb927.7.5560"
"Tb927.7.5570","Tb927.7.5570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,501,047..1,502,848(+)","cell cycle associated protein MOB1-A","protein coding","Tb927.7.5570"
"Tb927.7.5580","Tb927.7.5580:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,503,381..1,504,530(+)","cell cycle associated protein MOB1-B","protein coding","Tb927.7.5580"
"Tb927.7.5590","Tb927.7.5590:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,504,668..1,510,444(+)","Domain of unknown function (DUF3883), putative","protein coding","Tb927.7.5590"
"Tb927.7.560","Tb927.7.560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:114,077..116,494(-)","hypothetical protein, conserved","protein coding","Tb927.7.560"
"Tb927.7.5600","Tb927.7.5600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,510,638..1,514,024(+)","leucine-rich repeat protein (LRRP), putative","protein coding","Tb927.7.5600"
"Tb927.7.5610","Tb927.7.5610:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,516,783..1,520,321(+)","hypothetical protein, conserved","protein coding","Tb927.7.5610"
"Tb927.7.5615","Tb927.7.5615:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,520,449..1,520,925(+)","hypothetical protein","protein coding","NTCDS.Tb7.NT.63"
"Tb927.7.5620","Tb927.7.5620:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,521,358..1,522,838(+)","SET domain containing protein, putative","protein coding","Tb927.7.5620"
"Tb927.7.5630","Tb927.7.5630:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,523,002..1,525,102(+)","hypothetical protein, conserved","protein coding","Tb927.7.5630"
"Tb927.7.5640","Tb927.7.5640:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,525,510..1,526,813(+)","G-patch domain containing protein, putative","protein coding","Tb927.7.5640"
"Tb927.7.5650","Tb927.7.5650:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,526,983..1,530,088(+)","kinesin, putative","protein coding","Tb927.7.5650"
"Tb927.7.5660","Tb927.7.5660:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,530,262..1,532,439(+)","Outer dynein arm docking complex protein 2, putative","protein coding","Tb927.7.5660"
"Tb927.7.5670","Tb927.7.5670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,533,544..1,534,984(+)","hypothetical protein, conserved","protein coding","Tb927.7.5670"
"Tb927.7.5680","Tb927.7.5680:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,535,124..1,536,188(+)","deoxyribose-phosphate aldolase, putative","protein coding","Tb927.7.5680"
"Tb927.7.5690","Tb927.7.5690:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,537,413..1,539,416(+)","SUMO-interacting motif-containing protein","protein coding","Tb927.7.5690"
"Tb927.7.570","Tb927.7.570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:116,560..117,615(-)","prefoldin, putative","protein coding","Tb927.7.570"
"Tb927.7.5700","Tb927.7.5700:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,540,391..1,541,438(+)","peripherally associated ATOM36","protein coding","Tb927.7.5700"
"Tb927.7.5710","Tb927.7.5710:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,542,108..1,543,401(+)","hypothetical protein, conserved","protein coding","Tb927.7.5710"
"Tb927.7.5720","Tb927.7.5720:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,543,585..1,544,779(+)","hypothetical protein, conserved","protein coding","Tb927.7.5720"
"Tb927.7.5730","Tb927.7.5730:mRNA","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:1,545,179..1,548,046(+)","hypothetical protein, conserved","protein coding","Tb927.7.5730"
